,Entry,Mass,Feature,Feature.1,feature,Feature.2
10118,Q96LS8,"17,367",Q96LS8,Q96LS8,Q96LS8,Q96LS8
10119,Q2NKX9,"18,751",Q2NKX9,Q2NKX9,Q2NKX9,Q2NKX9
10120,A6NJV1,"23,421",A6NJV1,A6NJV1,A6NJV1,A6NJV1
10121,A8MZ97,"21,915",A8MZ97,A8MZ97,A8MZ97,A8MZ97
10122,Q9H9S4,"39,088",Q9H9S4,Q9H9S4,Q9H9S4,Q9H9S4
10123,P08185,"45,141",P08185,P08185,P08185,P08185
10124,Q5VU57,"58,230",Q5VU57,Q5VU57,Q5VU57,Q5VU57
10125,O75976,"152,931",O75976,O75976,O75976,O75976
10126,Q9UPW5,"138,448",Q9UPW5,Q9UPW5,Q9UPW5,Q9UPW5
10127,P16152,"30,375",P16152,P16152,P16152,P16152
10128,Q8NEM8,"116,011",Q8NEM8,Q8NEM8,Q8NEM8,Q8NEM8
10129,Q8IYE0,"112,806",Q8IYE0,Q8IYE0,Q8IYE0,Q8IYE0
10130,O75828,"30,850",O75828,O75828,O75828,O75828
10131,Q99622,"13,178",Q99622,Q99622,Q99622,Q99622
10132,P0C862,"34,681",P0C862,P0C862,P0C862,P0C862
10133,Q86YS7,"110,447",Q86YS7,Q86YS7,Q86YS7,Q86YS7
10134,Q5T5A4,"19,350",Q5T5A4,Q5T5A4,Q5T5A4,Q5T5A4
10135,Q9Y376,"39,869",Q9Y376,Q9Y376,Q9Y376,Q9Y376
10136,A0A1B0GU71,"11,681",A0A1B0GU71,A0A1B0GU71,A0A1B0GU71,A0A1B0GU71
10137,Q8TAB5,"24,968",Q8TAB5,Q8TAB5,Q8TAB5,Q8TAB5
10138,Q7Z3S7,"127,938",Q7Z3S7,Q7Z3S7,Q7Z3S7,Q7Z3S7
10139,P55289,"88,332",P55289,P55289,P55289,P55289
10140,P55291,"88,916",P55291,P55291,P55291,P55291
10141,O75309,"89,923",O75309,O75309,O75309,O75309
10142,Q86V35,"24,453",Q86V35,Q86V35,Q86V35,Q86V35
10143,P54284,"54,532",P54284,P54284,P54284,P54284
10144,Q8NFZ8,"42,785",Q8NFZ8,Q8NFZ8,Q8NFZ8,Q8NFZ8
10145,P10092,"13,706",P10092,P10092,P10092,P10092
10146,Q16602,"52,929",Q16602,Q16602,Q16602,Q16602
10147,Q86VP6,"136,376",Q86VP6,Q86VP6,Q86VP6,Q86VP6
10148,P49069,"32,953",P49069,P49069,P49069,P49069
10149,P20807,"94,254",P20807,P20807,P20807,P20807
10150,P04040,"59,756",P04040,P04040,P04040,P04040
10151,P08311,"28,837",P08311,P08311,P08311,P08311
10152,A6NN90,"63,239",A6NN90,A6NN90,A6NN90,A6NN90
10153,Q96KX2,"35,025",Q96KX2,Q96KX2,Q96KX2,Q96KX2
10154,P47755,"32,949",P47755,P47755,P47755,P47755
10155,P56539,"17,259",P56539,P56539,P56539,P56539
10156,A6NCS6,"30,481",A6NCS6,A6NCS6,A6NCS6,A6NCS6
10157,A6NCI8,"100,170",A6NCI8,A6NCI8,A6NCI8,A6NCI8
10158,Q969G5,"27,701",Q969G5,Q969G5,Q969G5,Q969G5
10159,P55210,"34,277",P55210,P55210,P55210,P55210
10160,Q6UXS9,"38,907",Q6UXS9,Q6UXS9,Q6UXS9,Q6UXS9
10161,Q86V15,"190,069",Q86V15,Q86V15,Q86V15,Q86V15
10162,P43235,"36,966",P43235,P43235,P43235,P43235
10163,Q5NE16,"25,059",Q5NE16,Q5NE16,Q5NE16,Q5NE16
10164,Q9UBR2,"33,868",Q9UBR2,Q9UBR2,Q9UBR2,Q9UBR2
10165,Q6P9G0,"26,689",Q6P9G0,Q6P9G0,Q6P9G0,Q6P9G0
10166,Q13166,"9,224",Q13166,Q13166,Q13166,Q13166
10167,P15088,"48,670",P15088,P15088,P15088,P15088
10168,Q8N4T0,"51,008",Q8N4T0,Q8N4T0,Q8N4T0,Q8N4T0
10169,Q5U5Z8,"104,194",Q5U5Z8,Q5U5Z8,Q5U5Z8,Q5U5Z8
10170,Q3SXR2,"16,908",Q3SXR2,Q3SXR2,Q3SXR2,Q3SXR2
10171,Q96BT1,"33,461",Q96BT1,Q96BT1,Q96BT1,Q96BT1
10172,A1A4F0,"15,626",A1A4F0,A1A4F0,A1A4F0,A1A4F0
10173,Q8N813,"26,007",Q8N813,Q8N813,Q8N813,Q8N813
10174,Q6ZUJ4,"30,194",Q6ZUJ4,Q6ZUJ4,Q6ZUJ4,Q6ZUJ4
10175,P0DN24,"10,933",P0DN24,P0DN24,P0DN24,P0DN24
10176,Q86Z20,"58,629",Q86Z20,Q86Z20,Q86Z20,Q86Z20
10177,Q8N4T8,"25,301",Q8N4T8,Q8N4T8,Q8N4T8,Q8N4T8
10178,Q96BQ5,"30,834",Q96BQ5,Q96BQ5,Q96BQ5,Q96BQ5
10179,A5D8V7,"69,140",A5D8V7,A5D8V7,A5D8V7,A5D8V7
10180,P0DN79,"60,587",P0DN79,P0DN79,P0DN79,P0DN79
10181,A0A0D9SF12,"16,203",A0A0D9SF12,A0A0D9SF12,A0A0D9SF12,A0A0D9SF12
10182,P0CW27,"48,709",P0CW27,P0CW27,P0CW27,P0CW27
10183,Q9P0B6,"11,459",Q9P0B6,Q9P0B6,Q9P0B6,Q9P0B6
10184,Q6TFL3,"152,810",Q6TFL3,Q6TFL3,Q6TFL3,Q6TFL3
10185,A0ZSE6,"13,039",A0ZSE6,A0ZSE6,A0ZSE6,A0ZSE6
10186,A6NKD9,"45,210",A6NKD9,A6NKD9,A6NKD9,A6NKD9
10187,Q9GZT6,"29,506",Q9GZT6,Q9GZT6,Q9GZT6,Q9GZT6
10188,Q9UFE4,"109,901",Q9UFE4,Q9UFE4,Q9UFE4,Q9UFE4
10189,P55773,"13,411",P55773,P55773,P55773,P55773
10190,P06307,"12,669",P06307,P06307,P06307,P06307
10191,Q8NA47,"66,250",Q8NA47,Q8NA47,Q8NA47,Q8NA47
10192,P13500,"11,025",P13500,P13500,P13500,P13500
10193,Q9BR77,"57,486",Q9BR77,Q9BR77,Q9BR77,Q9BR77
10194,Q14094,"42,557",Q14094,Q14094,Q14094,Q14094
10195,Q8IV13,"48,406",Q8IV13,Q8IV13,Q8IV13,Q8IV13
10196,P30279,"33,067",P30279,P30279,P30279,P30279
10197,P14635,"48,337",P14635,P14635,P14635,P14635
10198,P24864,"47,077",P24864,P24864,P24864,P24864
10199,Q8N1B3,"28,369",Q8N1B3,Q8N1B3,Q8N1B3,Q8N1B3
10200,O60563,"80,685",O60563,O60563,O60563,O60563
10201,O14618,"29,041",O14618,O14618,O14618,O14618
10202,O96020,"46,757",O96020,O96020,O96020,O96020
10203,P20273,"95,348",P20273,P20273,P20273,P20273
10204,A7E2U8,"34,376",A7E2U8,A7E2U8,A7E2U8,A7E2U8
10205,O75794,"39,135",O75794,O75794,O75794,O75794
10206,P25063,"8,083",P25063,P25063,P25063,P25063
10207,P51946,"37,643",P51946,P51946,P51946,P51946
10208,P0C7X3,"39,078",P0C7X3,P0C7X3,P0C7X3,P0C7X3
10209,P28907,"34,328",P28907,P28907,P28907,P28907
10210,Q8IWY9,"134,120",Q8IWY9,Q8IWY9,Q8IWY9,Q8IWY9
10211,P07766,"23,147",P07766,P07766,P07766,P07766
10212,Q16543,"44,468",Q16543,Q16543,Q16543,Q16543
10213,Q9Y426,"75,533",Q9Y426,Q9Y426,Q9Y426,Q9Y426
10214,Q4AC94,"260,389",Q4AC94,Q4AC94,Q4AC94,Q4AC94
10215,Q07021,"31,362",Q07021,Q07021,Q07021,Q07021
10216,P02747,"25,774",P02747,P02747,P02747,P02747
10217,Q6ZMU1,"40,197",Q6ZMU1,Q6ZMU1,Q6ZMU1,Q6ZMU1
10218,B7Z1M9,"37,583",B7Z1M9,B7Z1M9,B7Z1M9,B7Z1M9
10219,O14569,"23,974",O14569,O14569,O14569,O14569
10220,Q9NS00,"42,203",Q9NS00,Q9NS00,Q9NS00,Q9NS00
10221,Q6NXN4,"28,036",Q6NXN4,Q6NXN4,Q6NXN4,Q6NXN4
10222,Q8N1D5,"23,067",Q8N1D5,Q8N1D5,Q8N1D5,Q8N1D5
10223,Q5VUE5,"15,483",Q5VUE5,Q5VUE5,Q5VUE5,Q5VUE5
10224,Q9Y6N8,"88,451",Q9Y6N8,Q9Y6N8,Q9Y6N8,Q9Y6N8
10225,Q5JW98,"35,060",Q5JW98,Q5JW98,Q5JW98,Q5JW98
10226,P07451,"29,557",P07451,P07451,P07451,P07451
10227,P22748,"35,032",P22748,P22748,P22748,P22748
10228,P30988,"59,352",P30988,P30988,P30988,P30988
10229,Q96GE6,"21,883",Q96GE6,Q96GE6,Q96GE6,Q96GE6
10230,P06881,"13,899",P06881,P06881,P06881,P06881
10231,P35219,"32,973",P35219,P35219,P35219,P35219
10232,Q16790,"49,698",Q16790,Q16790,Q16790,Q16790
10233,P0DP23,"16,838",P0DP23,P0DP23,P0DP23,P0DP23
10234,Q9NYX4,"23,434",Q9NYX4,Q9NYX4,Q9NYX4,Q9NYX4
10235,Q9HC96,"74,952",Q9HC96,Q9HC96,Q9HC96,Q9HC96
10236,O75808,"117,314",O75808,O75808,O75808,O75808
10237,O75052,"56,150",O75052,O75052,O75052,O75052
10238,Q9BXL6,"113,270",Q9BXL6,Q9BXL6,Q9BXL6,Q9BXL6
10239,Q5EG05,"22,625",Q5EG05,Q5EG05,Q5EG05,Q5EG05
10240,P29466,"45,159",P29466,P29466,P29466,P29466
10241,P42574,"31,608",P42574,P42574,P42574,P42574
10242,Q9BX69,"116,468",Q9BX69,Q9BX69,Q9BX69,Q9BX69
10243,P49662,"43,262",P49662,P49662,P49662,P49662
10244,P31415,"45,160",P31415,P31415,P31415,P31415
10245,Q13191,"109,450",Q13191,Q13191,Q13191,Q13191
10246,A6NLC5,"27,769",A6NLC5,A6NLC5,A6NLC5,A6NLC5
10247,P81605,"11,284",P81605,P81605,P81605,P81605
10248,Q9Y6R9,"57,368",Q9Y6R9,Q9Y6R9,Q9Y6R9,Q9Y6R9
10249,Q9Y3M2,"14,470",Q9Y3M2,Q9Y3M2,Q9Y3M2,Q9Y3M2
10250,Q9UF02,"30,903",Q9UF02,Q9UF02,Q9UF02,Q9UF02
10251,Q06432,"25,028",Q06432,Q06432,Q06432,Q06432
10252,Q8WXS5,"43,313",Q8WXS5,Q8WXS5,Q8WXS5,Q8WXS5
10253,P20160,"26,886",P20160,P20160,P20160,P20160
10254,Q86UW7,"147,735",Q86UW7,Q86UW7,Q86UW7,Q86UW7
10255,Q9BWT7,"115,931",Q9BWT7,Q9BWT7,Q9BWT7,Q9BWT7
10256,P47710,"21,671",P47710,P47710,P47710,P47710
10257,Q96PB1,"91,680",Q96PB1,Q96PB1,Q96PB1,Q96PB1
10258,O14958,"46,436",O14958,O14958,O14958,O14958
10259,P31944,"27,680",P31944,P31944,P31944,P31944
10260,P07498,"20,305",P07498,P07498,P07498,P07498
10261,Q7Z7H3,"43,900",Q7Z7H3,Q7Z7H3,Q7Z7H3,Q7Z7H3
10262,Q9UHG0,"52,834",Q9UHG0,Q9UHG0,Q9UHG0,Q9UHG0
10263,O60911,"37,329",O60911,O60911,O60911,O60911
10264,P56202,"42,120",P56202,P56202,P56202,P56202
10265,P51636,"18,291",P51636,P51636,P51636,P51636
10266,Q03135,"20,472",Q03135,Q03135,Q03135,Q03135
10267,Q8N535,"12,106",Q8N535,Q8N535,Q8N535,Q8N535
10268,P43234,"35,958",P43234,P43234,P43234,P43234
10269,Q8N350,"73,929",Q8N350,Q8N350,Q8N350,Q8N350
10270,P15085,"47,140",P15085,P15085,P15085,P15085
10271,Q96IY4,"48,424",Q96IY4,Q96IY4,Q96IY4,Q96IY4
10272,P14384,"50,514",P14384,P14384,P14384,P14384
10273,P23435,"21,097",P23435,P23435,P23435,P23435
10274,Q8IUK8,"24,084",Q8IUK8,Q8IUK8,Q8IUK8,Q8IUK8
10275,Q5JPI3,"37,541",Q5JPI3,Q5JPI3,Q5JPI3,Q5JPI3
10276,A0A1B0GTC6,"10,386",A0A1B0GTC6,A0A1B0GTC6,A0A1B0GTC6,A0A1B0GTC6
10277,Q8IYK2,"56,909",Q8IYK2,Q8IYK2,Q8IYK2,Q8IYK2
10278,Q8IUF1,"44,034",Q8IUF1,Q8IUF1,Q8IUF1,Q8IUF1
10279,Q9NQR7,"79,739",Q9NQR7,Q9NQR7,Q9NQR7,Q9NQR7
10280,O60729,"56,802",O60729,O60729,O60729,O60729
10281,P13994,"44,802",P13994,P13994,P13994,P13994
10282,Q8N715,"72,349",Q8N715,Q8N715,Q8N715,Q8N715
10283,Q9NVL8,"34,690",Q9NVL8,Q9NVL8,Q9NVL8,Q9NVL8
10284,Q8IX12,"132,821",Q8IX12,Q8IX12,Q8IX12,Q8IX12
10285,Q8IWA6,"63,091",Q8IWA6,Q8IWA6,Q8IWA6,Q8IWA6
10286,Q6NSX1,"28,767",Q6NSX1,Q6NSX1,Q6NSX1,Q6NSX1
10287,Q99616,"10,986",Q99616,Q99616,Q99616,Q99616
10288,Q16663,"12,248",Q16663,Q16663,Q16663,Q16663
10289,O95389,"39,293",O95389,O95389,O95389,O95389
10290,P24385,"33,729",P24385,P24385,P24385,P24385
10291,Q9NR30,"87,344",Q9NR30,Q9NR30,Q9NR30,Q9NR30
10292,Q9C0I3,"99,510",Q9C0I3,Q9C0I3,Q9C0I3,Q9C0I3
10293,Q6ZRC1,"30,622",Q6ZRC1,Q6ZRC1,Q6ZRC1,Q6ZRC1
10294,Q9BSF8,"53,779",Q9BSF8,Q9BSF8,Q9BSF8,Q9BSF8
10295,P78543,"17,416",P78543,P78543,P78543,P78543
10296,Q14201,"29,116",Q14201,Q14201,Q14201,Q14201
10297,Q6UX41,"56,748",Q6UX41,Q6UX41,Q6UX41,Q6UX41
10298,O43709,"31,880",O43709,O43709,O43709,O43709
10299,Q96L14,"32,648",Q96L14,Q96L14,Q96L14,Q96L14
10300,P09871,"76,684",P09871,P09871,P09871,P09871
10301,Q6P1N0,"104,062",Q6P1N0,Q6P1N0,Q6P1N0,Q6P1N0
10302,P02746,"26,722",P02746,P02746,P02746,P02746
10303,Q9P2K1,"186,185",Q9P2K1,Q9P2K1,Q9P2K1,Q9P2K1
10304,Q99643,"18,610",Q99643,Q99643,Q99643,Q99643
10305,P00915,"28,870",P00915,P00915,P00915,P00915
10306,P19022,"99,809",P19022,P19022,P19022,P19022
10307,O75493,"36,238",O75493,O75493,O75493,O75493
10308,Q8N1Q1,"29,443",Q8N1Q1,Q8N1Q1,Q8N1Q1,Q8N1Q1
10309,P01258,"15,467",P01258,P01258,P01258,P01258
10310,P22676,"31,540",P22676,P22676,P22676,P22676
10311,Q13939,"66,582",Q13939,Q13939,Q13939,Q13939
10312,O15484,"73,169",O15484,O15484,O15484,O15484
10313,Q9Y6Q1,"74,576",Q9Y6Q1,Q9Y6Q1,Q9Y6Q1,Q9Y6Q1
10314,Q8NCB2,"54,354",Q8NCB2,Q8NCB2,Q8NCB2,Q8NCB2
10315,Q5XLA6,"11,868",Q5XLA6,Q5XLA6,Q5XLA6,Q5XLA6
10316,P57730,"10,138",P57730,P57730,P57730,P57730
10317,Q9NXV6,"61,125",Q9NXV6,Q9NXV6,Q9NXV6,Q9NXV6
10318,Q14511,"92,861",Q14511,Q14511,Q14511,Q14511
10319,P42575,"50,685",P42575,P42575,P42575,P42575
10320,P55211,"46,281",P55211,P55211,P55211,P55211
10321,P41180,"120,675",P41180,P41180,P41180,P41180
10322,A6NHX0,"36,056",A6NHX0,A6NHX0,A6NHX0,A6NHX0
10323,Q8NAP1,"17,846",Q8NAP1,Q8NAP1,Q8NAP1,Q8NAP1
10324,Q5VZK9,"151,557",Q5VZK9,Q5VZK9,Q5VZK9,Q5VZK9
10325,P05814,"25,382",P05814,P05814,P05814,P05814
10326,Q86X55,"65,854",Q86X55,Q86X55,Q86X55,Q86X55
10327,Q13948,"77,455",Q13948,Q13948,Q13948,Q13948
10328,P07711,"37,564",P07711,P07711,P07711,P07711
10329,Q9UBX1,"53,366",Q9UBX1,Q9UBX1,Q9UBX1,Q9UBX1
10330,Q6ZV80,"14,825",Q6ZV80,Q6ZV80,Q6ZV80,Q6ZV80
10331,Q6UXQ4,"13,321",Q6UXQ4,Q6UXQ4,Q6UXQ4,Q6UXQ4
10332,Q8N8R5,"43,448",Q8N8R5,Q8N8R5,Q8N8R5,Q8N8R5
10333,Q8N5S3,"32,142",Q8N5S3,Q8N5S3,Q8N5S3,Q8N5S3
10334,O95810,"47,173",O95810,O95810,O95810,O95810
10335,Q8IVU9,"23,883",Q8IVU9,Q8IVU9,Q8IVU9,Q8IVU9
10336,P48052,"47,030",P48052,P48052,P48052,P48052
10337,Q9UI42,"47,351",Q9UI42,Q9UI42,Q9UI42,Q9UI42
10338,Q8IVL8,"42,529",Q8IVL8,Q8IVL8,Q8IVL8,Q8IVL8
10339,Q9NTU7,"21,808",Q9NTU7,Q9NTU7,Q9NTU7,Q9NTU7
10340,Q96HB5,"67,567",Q96HB5,Q96HB5,Q96HB5,Q96HB5
10341,Q6ZRV3,"16,900",Q6ZRV3,Q6ZRV3,Q6ZRV3,Q6ZRV3
10342,P0CE67,"11,337",P0CE67,P0CE67,P0CE67,P0CE67
10343,Q6ZUS5,"33,061",Q6ZUS5,Q6ZUS5,Q6ZUS5,Q6ZUS5
10344,Q0VFZ6,"66,403",Q0VFZ6,Q0VFZ6,Q0VFZ6,Q0VFZ6
10345,Q6PII3,"53,958",Q6PII3,Q6PII3,Q6PII3,Q6PII3
10346,Q6ZUS6,"52,796",Q6ZUS6,Q6ZUS6,Q6ZUS6,Q6ZUS6
10347,A4D256,"51,614",A4D256,A4D256,A4D256,A4D256
10348,Q96NT0,"19,761",Q96NT0,Q96NT0,Q96NT0,Q96NT0
10349,Q8NCX0,"128,761",Q8NCX0,Q8NCX0,Q8NCX0,Q8NCX0
10350,Q7Z3E2,"103,687",Q7Z3E2,Q7Z3E2,Q7Z3E2,Q7Z3E2
10351,Q96M89,"76,219",Q96M89,Q96M89,Q96M89,Q96M89
10352,Q96MF4,"18,252",Q96MF4,Q96MF4,Q96MF4,Q96MF4
10353,Q569K6,"83,941",Q569K6,Q569K6,Q569K6,Q569K6
10354,A6NGH7,"38,277",A6NGH7,A6NGH7,A6NGH7,A6NGH7
10355,Q8NHW4,"10,166",Q8NHW4,Q8NHW4,Q8NHW4,Q8NHW4
10356,Q3MIR4,"38,941",Q3MIR4,Q3MIR4,Q3MIR4,Q3MIR4
10357,Q4V339,"43,964",Q4V339,Q4V339,Q4V339,Q4V339
10358,A6NC98,"164,809",A6NC98,A6NC98,A6NC98,A6NC98
10359,Q4VC31,"16,620",Q4VC31,Q4VC31,Q4VC31,Q4VC31
10360,Q502W7,"65,315",Q502W7,Q502W7,Q502W7,Q502W7
10361,Q9H6F5,"40,236",Q9H6F5,Q9H6F5,Q9H6F5,Q9H6F5
10362,Q8NEL0,"37,886",Q8NEL0,Q8NEL0,Q8NEL0,Q8NEL0
10363,Q8ND61,"101,266",Q8ND61,Q8ND61,Q8ND61,Q8ND61
10364,Q8N5N4,"15,686",Q8N5N4,Q8N5N4,Q8N5N4,Q8N5N4
10365,Q96D03,"21,740",Q96D03,Q96D03,Q96D03,Q96D03
10366,O00175,"13,134",O00175,O00175,O00175,O00175
10367,O15444,"16,609",O15444,O15444,O15444,O15444
10368,P48745,"39,162",P48745,P48745,P48745,P48745
10369,P20248,"48,551",P20248,P20248,P20248,P20248
10370,P24863,"33,243",P24863,P24863,P24863,P24863
10371,P30281,"32,520",P30281,P30281,P30281,P30281
10372,P22674,"38,096",P22674,P22674,P22674,P22674
10373,Q96I13,"47,331",Q96I13,Q96I13,Q96I13,Q96I13
10374,Q9HC16,"46,408",Q9HC16,Q9HC16,Q9HC16,Q9HC16
10375,Q96P50,"92,495",Q96P50,Q96P50,Q96P50,Q96P50
10376,Q6JQN1,"118,834",Q6JQN1,Q6JQN1,Q6JQN1,Q6JQN1
10377,Q96AP0,"57,733",Q96AP0,Q96AP0,Q96AP0,Q96AP0
10378,Q4G176,"64,130",Q4G176,Q4G176,Q4G176,Q4G176
10379,Q8NEB7,"61,359",Q8NEB7,Q8NEB7,Q8NEB7,Q8NEB7
10380,Q4L235,"122,597",Q4L235,Q4L235,Q4L235,Q4L235
10381,Q8TDY3,"41,702",Q8TDY3,Q8TDY3,Q8TDY3,Q8TDY3
10382,O43184,"99,542",O43184,O43184,O43184,O43184
10383,O75843,"87,117",O75843,O75843,O75843,O75843
10384,Q92870,"83,374",Q92870,Q92870,Q92870,Q92870
10385,P53680,"17,018",P53680,P53680,P53680,P53680
10386,Q9H1A4,"216,500",Q9H1A4,Q9H1A4,Q9H1A4,Q9H1A4
10387,Q9BZZ5,"59,005",Q9BZZ5,Q9BZZ5,Q9BZZ5,Q9BZZ5
10388,Q7Z2E3,"40,740",Q7Z2E3,Q7Z2E3,Q7Z2E3,Q7Z2E3
10389,A6NJG6,"35,617",A6NJG6,A6NJG6,A6NJG6,A6NJG6
10390,Q9BSY4,"12,395",Q9BSY4,Q9BSY4,Q9BSY4,Q9BSY4
10391,Q92888,"102,435",Q92888,Q92888,Q92888,Q92888
10392,Q9NR80,"79,067",Q9NR80,Q9NR80,Q9NR80,Q9NR80
10393,O15013,"151,612",O15013,O15013,O15013,O15013
10394,Q8NFD5,"236,123",Q8NFD5,Q8NFD5,Q8NFD5,Q8NFD5
10395,Q8N4G2,"21,588",Q8N4G2,Q8N4G2,Q8N4G2,Q8N4G2
10396,Q9NXU5,"22,876",Q9NXU5,Q9NXU5,Q9NXU5,Q9NXU5
10397,Q03989,"64,074",Q03989,Q03989,Q03989,Q03989
10398,Q5T2S8,"115,679",Q5T2S8,Q5T2S8,Q5T2S8,Q5T2S8
10399,Q7Z3E5,"91,819",Q7Z3E5,Q7Z3E5,Q7Z3E5,Q7Z3E5
10400,H3BNL8,"26,547",H3BNL8,H3BNL8,H3BNL8,H3BNL8
10401,Q5T2E6,"78,710",Q5T2E6,Q5T2E6,Q5T2E6,Q5T2E6
10402,Q96C57,"28,171",Q96C57,Q96C57,Q96C57,Q96C57
10403,Q9H4R4,"11,336",Q9H4R4,Q9H4R4,Q9H4R4,Q9H4R4
10404,Q5TEA3,"132,287",Q5TEA3,Q5TEA3,Q5TEA3,Q5TEA3
10405,P78537,"17,263",P78537,P78537,P78537,P78537
10406,Q9NSY1,"129,172",Q9NSY1,Q9NSY1,Q9NSY1,Q9NSY1
10407,Q7Z5W3,"33,200",Q7Z5W3,Q7Z5W3,Q7Z5W3,Q7Z5W3
10408,Q53S33,"12,114",Q53S33,Q53S33,Q53S33,Q53S33
10409,Q6PGQ7,"61,203",Q6PGQ7,Q6PGQ7,Q6PGQ7,Q6PGQ7
10410,P22003,"51,737",P22003,P22003,P22003,P22003
10411,Q96B45,"11,695",Q96B45,Q96B45,Q96B45,Q96B45
10412,Q00587,"40,295",Q00587,Q00587,Q00587,Q00587
10413,P17213,"53,900",P17213,P17213,P17213,P17213
10414,Q8TDL5,"52,442",Q8TDL5,Q8TDL5,Q8TDL5,Q8TDL5
10415,Q8N4F0,"49,172",Q8N4F0,Q8N4F0,Q8N4F0,Q8N4F0
10416,P59827,"65,055",P59827,P59827,P59827,P59827
10417,Q8WY22,"27,836",Q8WY22,Q8WY22,Q8WY22,Q8WY22
10418,O95415,"13,645",O95415,O95415,O95415,O95415
10419,Q96G97,"44,392",Q96G97,Q96G97,Q96G97,Q96G97
10420,Q3C1V8,"25,933",Q3C1V8,Q3C1V8,Q3C1V8,Q3C1V8
10421,Q5W0U4,"44,381",Q5W0U4,Q5W0U4,Q5W0U4,Q5W0U4
10422,Q9GZN4,"33,732",Q9GZN4,Q9GZN4,Q9GZN4,Q9GZN4
10423,Q32M84,"58,481",Q32M84,Q32M84,Q32M84,Q32M84
10424,Q96K17,"17,271",Q96K17,Q96K17,Q96K17,Q96K17
10425,Q5T3Y7,"11,178",Q5T3Y7,Q5T3Y7,Q5T3Y7,Q5T3Y7
10426,Q96A19,"62,596",Q96A19,Q96A19,Q96A19,Q96A19
10427,Q68D86,"60,448",Q68D86,Q68D86,Q68D86,Q68D86
10428,P19099,"57,560",P19099,P19099,P19099,P19099
10429,A6NLJ0,"38,769",A6NLJ0,A6NLJ0,A6NLJ0,A6NLJ0
10430,Q8TF44,"44,576",Q8TF44,Q8TF44,Q8TF44,Q8TF44
10431,Q16581,"53,864",Q16581,Q16581,Q16581,Q16581
10432,Q2TBE0,"103,787",Q2TBE0,Q2TBE0,Q2TBE0,Q2TBE0
10433,Q9H0H9,"12,413",Q9H0H9,Q9H0H9,Q9H0H9,Q9H0H9
10434,P33076,"123,514",P33076,P33076,P33076,P33076
10435,Q8N465,"56,416",Q8N465,Q8N465,Q8N465,Q8N465
10436,Q5SNV9,"162,423",Q5SNV9,Q5SNV9,Q5SNV9,Q5SNV9
10437,Q8IYL3,"25,977",Q8IYL3,Q8IYL3,Q8IYL3,Q8IYL3
10438,Q5T7R7,"22,411",Q5T7R7,Q5T7R7,Q5T7R7,Q5T7R7
10439,Q5TEV5,"9,093",Q5TEV5,Q5TEV5,Q5TEV5,Q5TEV5
10440,Q5JT78,"10,987",Q5JT78,Q5JT78,Q5JT78,Q5JT78
10441,Q5TG92,"13,826",Q5TG92,Q5TG92,Q5TG92,Q5TG92
10442,P55285,"88,309",P55285,P55285,P55285,P55285
10443,P43155,"70,858",P43155,P43155,P43155,P43155
10444,P55286,"88,253",P55286,P55286,P55286,P55286
10445,O43497,"262,472",O43497,O43497,O43497,O43497
10446,Q9ULB4,"88,689",Q9ULB4,Q9ULB4,Q9ULB4,Q9ULB4
10447,O95180,"259,163",O95180,O95180,O95180,O95180
10448,O43570,"39,451",O43570,O43570,O43570,O43570
10449,P22223,"91,418",P22223,P22223,P22223,P22223
10450,Q9P0X4,"245,103",Q9P0X4,Q9P0X4,Q9P0X4,Q9P0X4
10451,P23280,"35,367",P23280,P23280,P23280,P23280
10452,P43166,"29,658",P43166,P43166,P43166,P43166
10453,P27482,"16,891",P27482,P27482,P27482,P27482
10454,Q6UXY1,"58,987",Q6UXY1,Q6UXY1,Q6UXY1,Q6UXY1
10455,Q9Y6D6,"208,767",Q9Y6D6,Q9Y6D6,Q9Y6D6,Q9Y6D6
10456,Q96G01,"110,750",Q96G01,Q96G01,Q96G01,Q96G01
10457,Q9NQY0,"29,665",Q9NQY0,Q9NQY0,Q9NQY0,Q9NQY0
10458,Q6ZP65,"64,841",Q6ZP65,Q6ZP65,Q6ZP65,Q6ZP65
10459,A1L168,"13,591",A1L168,A1L168,A1L168,A1L168
10460,O95393,"48,047",O95393,O95393,O95393,O95393
10461,Q13867,"52,562",Q13867,Q13867,Q13867,Q13867
10462,P35226,"36,949",P35226,P35226,P35226,P35226
10463,P12644,"46,555",P12644,P12644,P12644,P12644
10464,O75150,"113,678",O75150,O75150,O75150,O75150
10465,Q9C0B6,"89,005",Q9C0B6,Q9C0B6,Q9C0B6,Q9C0B6
10466,Q8IWQ3,"81,633",Q8IWQ3,Q8IWQ3,Q8IWQ3,Q8IWQ3
10467,Q8TDN6,"41,401",Q8TDN6,Q8TDN6,Q8TDN6,Q8TDN6
10468,Q9UPA5,"416,469",Q9UPA5,Q9UPA5,Q9UPA5,Q9UPA5
10469,O14981,"206,887",O14981,O14981,O14981,O14981
10470,Q9H0C5,"52,771",Q9H0C5,Q9H0C5,Q9H0C5,Q9H0C5
10471,Q5XKL5,"42,793",Q5XKL5,Q5XKL5,Q5XKL5,Q5XKL5
10472,P20290,"22,168",P20290,P20290,P20290,P20290
10473,Q86VB7,"125,451",Q86VB7,Q86VB7,Q86VB7,Q86VB7
